Category,Name,Code,Pallet Price,CNT Price,Case Size,PLY,Perf Length (mm),Roll Width (mm),Number of Sheets,Roll Diameter (mm),GSM,Roll Weight (g),Core Weight (g),Color,Fragrance,Pallet Count
Deep Fresh,Savon DeRoyal Pearl Series Luxury Hand Soap - White Pearl 12x500ml,21879,20.00,,12pcs,,,,,,,,,,NO,
Deep Fresh,Savon DeRoyal Pearl Series Luxury Hand Soap - Edens Pearl 12x500ml,21880,20.00,,12pcs,,,,,,,,,,NO,
Deep Fresh,Savon DeRoyal Pearl Series Luxury Hand Soap - Baroque Pearl 12x500ml,21881,20.00,,12pcs,,,,,,,,,,NO,
Deep Fresh,Savon DeRoyal PUR Savon Luxury Hand Soap - Black 12x500ml,21882,21.00,,12pcs,,,,,,,,,,NO,
Deep Fresh,Savon DeRoyal PUR Savon Luxury Hand Soap - White 12x500ml,21883,21.00,,12pcs,,,,,,,,,,NO,
Deep Fresh,Savon DeRoyal PUR Savon Luxury Hand Soap - Green 12x500ml,21884,21.00,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Oriental Amber Shower Gel 12x400ml,21699,11.00,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Oriental Oud Shower Gel 12x400ml,21700,11.00,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Goat Milk Shower Gel 12x1000ml,21876,20.00,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Avocado Shower Gel 12x1000ml,21877,20.00,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Spa Shower Gel 12x1000ml,21886,20.00,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Shower Gel - Shea Butter 12x1000ml,22686,20.00,,12pcs,,,,,,,,,,,
Deep Fresh,Deep Fresh Caramel Shower Gel 12x1000ml,22217,20.00,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Coconut Shower Gel 12x1000ml,22218,20.00,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Extracted Shower Gel Feel Power 12x400ml,22219,9.50,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Extracted Shower Gel Floral Touch 12x400ml,22220,9.50,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Exfoliating Shower Gel Strawberry 12x400ml,22221,20.00,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Exfoliating Shower Gel Kiwi 12x400ml,22222,20.00,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Shower Gel - Menthol 12x500ml,22223,9.50,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Shower Gel - Cool Men 12x500ml,22224,9.50,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Shower Gel - Absolute Relax 12x500ml,22225,9.50,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Shower Gel - Oud & Rose 12x500ml,22226,9.50,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh pet Shampoo 12x500ml,21698,19.44,,12pcs,,,,,,,,,,NO,
Deep Fresh,UltraFresh Liquid Window Cleaner 12x500ml,21725,,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Cotton Buds Cylinder 100pcs 1x12,21720,3.39,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Cotton Buds Cylinder 200pcs 1x12,21721,5.71,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Cotton Buds Rectangle 200pcs 1x12,21722,5.71,,12pcs,,,,,,,,,,NO,
Deep Fresh,Deep Fresh Reed Diffuser 100ml -Apple 1x24,22367,33.15,,24pcs,,,,,,,,,,Apple,54
Deep Fresh,Deep Fresh Reed Diffuser 100ml -Caramel 1x24,22363,33.15,,24pcs,,,,,,,,,,Caramel,54
Deep Fresh,Deep Fresh Reed Diffuser 100ml -Peach 1x24,22362,33.15,,24pcs,,,,,,,,,,Peach,54
Deep Fresh,Deep Fresh Reed Diffuser 100ml -Seaweed 1x24,22364,33.15,,24pcs,,,,,,,,,,Seaweed,54
Deep Fresh,Deep Fresh Reed Diffuser 100ml -Spa & Ecalyptus 1x24,22366,33.15,,24pcs,,,,,,,,,,Spa & Ecalyptu,54
Deep Fresh,Deep Fresh Reed Diffuser 100ml -Summer 1x24,22368,33.15,,24pcs,,,,,,,,,,Summer,54
Deep Fresh,Deep Fresh Reed Diffuser 100ml -Vanilla 1x24,22365,33.15,,24pcs,,,,,,,,,,Vanilla,54
Deep Fresh,Deep Fresh Reed Diffuser 100ml -Wildflowers 1x24,22361,33.15,,24pcs,,,,,,,,,,Wildflowers,54
Deep Fresh,SavonDeRoyal Miracle Shampoo-Smooth Perfect KERATIN 12x500ml,22543,22.77,,12pcs,,,,,,,,,,NO,
Deep Fresh,SavonDeRoyal Miracle Shampoo-Complete Recovery SHEA OIL 12x500ml,22544,22.77,,12pcs,,,,,,,,,,NO,
Deep Fresh,SavonDeRoyal Miracle Shampoo-Revilatize Hair COLLAGEN 12x500ml,22545,22.77,,12pcs,,,,,,,,,,NO,
Deep Fresh,SavonDeRoyal Miracle Shampoo-Repair Expert ARGAN OIL 12x500ml,22546,22.77,,12pcs,,,,,,,,,,NO,
Deep Fresh,SavonDeRoyal Miracle Hair Conditinoner-Ultimate Repair BIOTIN 12x500ml,22547,22.77,,12pcs,,,,,,,,,,NO,
